Record Length,2500,Points,-1.2500000,868.000030518E-3,,Record Length,2500,Points,-1.2500000,69.200001657E-3,
Sample Interval,1.0000000E-3,s,-1.2490000,864.000022411E-3,,Sample Interval,1.0000000E-3,s,-1.2490000,65.999999642E-3,
Trigger Point,1.2500000E3,Samples,-1.2480000,860.000014305E-3,,Trigger Point,1.2500000E3,Samples,-1.2480000,67.199997604E-3,
,,,-1.2470000,856.000065804E-3,,,,,-1.2470000,65.999999642E-3,
,,,-1.2460001,852.000057697E-3,,,,,-1.2460001,64.800001681E-3,
,,,-1.2450000,852.000057697E-3,,,,,-1.2450000,65.999999642E-3,
Source,CH1,,-1.2440000,848.000049591E-3,,Source,CH2,,-1.2440000,66.799998283E-3,
Vertical Units,Volts,,-1.2430000,844.000041485E-3,,Vertical Units,Volts,,-1.2430000,67.599996924E-3,
Vertical Scale,100.0000047E-3,,-1.2420000,840.000033379E-3,,Vertical Scale,9.999999747E-3,,-1.2420000,65.600000322E-3,
Vertical Offset,0,,-1.2410001,836.000025272E-3,,Vertical Offset,0,,-1.2410001,66.799998283E-3,
Horizontal Units,s,,-1.2400000,836.000025272E-3,,Horizontal Units,s,,-1.2400000,65.999999642E-3,
Horizontal Scale,250.00001187E-3,,-1.2390000,832.000017166E-3,,Horizontal Scale,250.00001187E-3,,-1.2390000,63.999995589E-3,
Pt Fmt,Y,,-1.2380000,828.000068665E-3,,Pt Fmt,Y,,-1.2380000,63.599996269E-3,
Yzero,-9.160000000,,-1.2370000,824.000060558E-3,,Yzero,-7.04000000,,-1.2370000,65.600000322E-3,
Probe Atten,1.000000,,-1.2359999,824.000060558E-3,,Probe Atten,1.000000,,-1.2359999,65.600000322E-3,
,,,-1.2350000,816.000044346E-3,,,,,-1.2350000,65.600000322E-3,
Note,TBS 1022 - 20:08:57   25/7/2022,,-1.2340000,816.000044346E-3,,Note,TBS 1022 - 20:08:57   25/7/2022,,-1.2340000,65.200001001E-3,
,,,-1.2330000,812.000036240E-3,,,,,-1.2330000,64.399994910E-3,
,,,-1.2320000,808.000028133E-3,,,,,-1.2320000,62.799997628E-3,
,,,-1.2309999,808.000028133E-3,,,,,-1.2309999,64.399994910E-3,
,,,-1.2300000,804.000020027E-3,,,,,-1.2300000,63.599996269E-3,
,,,-1.2290000,800.000011921E-3,,,,,-1.2290000,62.399998307E-3,
,,,-1.2280000,796.000063419E-3,,,,,-1.2280000,60.799997300E-3,
,,,-1.2270000,796.000063419E-3,,,,,-1.2270000,64.399994910E-3,
,,,-1.2260000,792.000055313E-3,,,,,-1.2260000,62.799997628E-3,
,,,-1.2250000,788.000047207E-3,,,,,-1.2250000,61.599999666E-3,
