Pixel,FLIR0286.jpg:t=57 [C]:mean:horz
1,3.769566e+01
2,4.127152e+01
3,4.334084e+01
4,4.417430e+01
5,4.409020e+01
6,4.217645e+01
7,3.840042e+01
8,3.403444e+01
9,3.090198e+01
10,2.926669e+01
11,2.827143e+01
12,2.759408e+01
13,2.685593e+01
14,2.596290e+01
15,2.524538e+01
16,2.476227e+01
17,2.443106e+01
18,2.421895e+01
19,2.414194e+01
20,2.415319e+01
21,2.422144e+01
22,2.434648e+01
23,2.455679e+01
24,2.483275e+01
25,2.507744e+01
26,2.526954e+01
27,2.548167e+01
28,2.564590e+01
29,2.577486e+01
30,2.586946e+01
31,2.595979e+01
32,2.604993e+01
33,2.613017e+01
34,2.619649e+01
35,2.624050e+01
36,2.626761e+01
37,2.628536e+01
38,2.630086e+01
39,2.632218e+01
40,2.634793e+01
41,2.636078e+01
42,2.634962e+01
43,2.630875e+01
44,2.624881e+01
45,2.621285e+01
46,2.620753e+01
47,2.619333e+01
48,2.616627e+01
49,2.615208e+01
50,2.614545e+01
51,2.612834e+01
52,2.611803e+01
53,2.609562e+01
54,2.606674e+01
55,2.605984e+01
56,2.607235e+01
57,2.606718e+01
58,2.604261e+01
59,2.602192e+01
60,2.601837e+01
61,2.602594e+01
62,2.604418e+01
63,2.606375e+01
64,2.607887e+01
65,2.609533e+01
66,2.611045e+01
67,2.612779e+01
68,2.614378e+01
69,2.615799e+01
70,2.616510e+01
71,2.616244e+01
72,2.615177e+01
73,2.614910e+01
74,2.616198e+01
75,2.619352e+01
76,2.624458e+01
77,2.628941e+01
78,2.632624e+01
79,2.636661e+01
80,2.641227e+01
81,2.645084e+01
82,2.648186e+01
83,2.650179e+01
84,2.651088e+01
85,2.651130e+01
86,2.650315e+01
87,2.648897e+01
88,2.647693e+01
89,2.648810e+01
90,2.652790e+01
91,2.654295e+01
92,2.654606e+01
93,2.657528e+01
94,2.662793e+01
95,2.667525e+01
96,2.670530e+01
97,2.673891e+01
98,2.676898e+01
99,2.678048e+01
100,2.677032e+01
101,2.676238e+01
102,2.675443e+01
103,2.672216e+01
104,2.667706e+01
105,2.664830e+01
106,2.664520e+01
107,2.666600e+01
108,2.669695e+01
109,2.670712e+01
110,2.668811e+01
111,2.666512e+01
112,2.664699e+01
113,2.664346e+01
114,2.665629e+01
115,2.666071e+01
116,2.665495e+01
117,2.666025e+01
118,2.668083e+01
119,2.670185e+01
120,2.671556e+01
121,2.673356e+01
122,2.676103e+01
123,2.677251e+01
124,2.677428e+01
125,2.678356e+01
126,2.679727e+01
127,2.681450e+01
128,2.682953e+01
129,2.683616e+01
130,2.683439e+01
131,2.684897e+01
132,2.687723e+01
133,2.691695e+01
134,2.696239e+01
135,2.700252e+01
136,2.703294e+01
137,2.704794e+01
138,2.705367e+01
139,2.706205e+01
140,2.706691e+01
141,2.704928e+01
142,2.701048e+01
143,2.696947e+01
144,2.693814e+01
145,2.691253e+01
146,2.690146e+01
147,2.693366e+01
148,2.700469e+01
149,2.706731e+01
150,2.710245e+01
151,2.713278e+01
152,2.714987e+01
153,2.712553e+01
154,2.705986e+01
155,2.696461e+01
156,2.686222e+01
157,2.679640e+01
158,2.678269e+01
159,2.680699e+01
160,2.686971e+01
161,2.694474e+01
162,2.702370e+01
163,2.708231e+01
164,2.711709e+01
165,2.714174e+01
166,2.714570e+01
167,2.709857e+01
168,2.700646e+01
169,2.690545e+01
170,2.682511e+01
171,2.678978e+01
172,2.680656e+01
173,2.685029e+01
174,2.690416e+01
175,2.694563e+01
176,2.696371e+01
177,2.695577e+01
178,2.693194e+01
179,2.690457e+01
180,2.688380e+01
181,2.690055e+01
182,2.695132e+01
183,2.701952e+01
184,2.708151e+01
185,2.711057e+01
186,2.710083e+01
187,2.702369e+01
188,2.690631e+01
189,2.682238e+01
190,2.679631e+01
191,2.683609e+01
192,2.692620e+01
193,2.701884e+01
194,2.709023e+01
195,2.711666e+01
196,2.709067e+01
197,2.701881e+01
198,2.691819e+01
199,2.683515e+01
200,2.678304e+01
201,2.674239e+01
202,2.669864e+01
203,2.659294e+01
204,2.644326e+01
205,2.636788e+01
206,2.638430e+01
207,2.644639e+01
208,2.651996e+01
209,2.653058e+01
210,2.647814e+01
211,2.646289e+01
212,2.649565e+01
213,2.653514e+01
214,2.655827e+01
215,2.653709e+01
216,2.647210e+01
217,2.643787e+01
218,2.640507e+01
219,2.637674e+01
220,2.633509e+01
221,2.624101e+01
222,2.611083e+01
223,2.601834e+01
224,2.598677e+01
225,2.602460e+01
226,2.610238e+01
227,2.610237e+01
228,2.601924e+01
229,2.592447e+01
230,2.585990e+01
231,2.590485e+01
232,2.604230e+01
233,2.609865e+01
234,2.605322e+01
235,2.600433e+01
236,2.597466e+01
237,2.602810e+01
238,2.606547e+01
239,2.565290e+01
240,2.481363e+01
241,2.402792e+01
242,2.348991e+01
243,2.331477e+01
244,2.351875e+01
245,2.399913e+01
246,2.460051e+01
247,2.496283e+01
248,2.497782e+01
249,2.471050e+01
250,2.419919e+01
251,2.384075e+01
252,2.379395e+01
253,2.420903e+01
254,2.494954e+01
255,2.544344e+01
256,2.550718e+01
257,2.509112e+01
258,2.432293e+01
259,2.369019e+01
260,2.339193e+01
261,2.350233e+01
262,2.400294e+01
263,2.476431e+01
264,2.555823e+01
265,2.615838e+01
