Pixel,FLIR0262.jpg:t=14 [C]:mean:horz
1,4.145249e+01
2,4.394756e+01
3,4.459370e+01
4,4.464440e+01
5,4.318983e+01
6,4.026087e+01
7,3.626713e+01
8,3.218964e+01
9,2.957652e+01
10,2.861956e+01
11,2.790321e+01
12,2.728767e+01
13,2.658421e+01
14,2.576633e+01
15,2.509947e+01
16,2.463686e+01
17,2.428179e+01
18,2.400467e+01
19,2.385249e+01
20,2.378315e+01
21,2.376210e+01
22,2.377650e+01
23,2.385437e+01
24,2.398462e+01
25,2.414542e+01
26,2.431270e+01
27,2.448100e+01
28,2.459871e+01
29,2.469574e+01
30,2.477607e+01
31,2.484145e+01
32,2.489234e+01
33,2.494275e+01
34,2.498913e+01
35,2.502828e+01
36,2.505617e+01
37,2.504639e+01
38,2.500382e+01
39,2.495534e+01
40,2.490990e+01
41,2.485990e+01
42,2.479809e+01
43,2.471096e+01
44,2.460641e+01
45,2.450909e+01
46,2.442287e+01
47,2.430797e+01
48,2.416695e+01
49,2.405940e+01
50,2.399466e+01
51,2.392859e+01
52,2.388857e+01
53,2.385865e+01
54,2.383574e+01
55,2.380085e+01
56,2.375529e+01
57,2.370439e+01
58,2.365473e+01
59,2.358779e+01
60,2.355233e+01
61,2.355373e+01
62,2.358925e+01
63,2.362793e+01
64,2.365159e+01
65,2.366070e+01
66,2.365570e+01
67,2.366661e+01
68,2.369160e+01
69,2.370609e+01
70,2.370239e+01
71,2.367411e+01
72,2.362260e+01
73,2.354244e+01
74,2.345138e+01
75,2.339993e+01
76,2.338586e+01
77,2.334315e+01
78,2.326486e+01
79,2.318965e+01
80,2.311983e+01
81,2.303810e+01
82,2.294031e+01
83,2.283599e+01
84,2.272699e+01
85,2.264073e+01
86,2.258151e+01
87,2.253828e+01
88,2.250481e+01
89,2.248251e+01
90,2.247579e+01
91,2.247393e+01
92,2.247849e+01
93,2.247708e+01
94,2.246924e+01
95,2.248393e+01
96,2.251792e+01
97,2.257024e+01
98,2.263538e+01
99,2.270284e+01
100,2.275519e+01
101,2.276536e+01
102,2.273654e+01
103,2.271227e+01
104,2.269715e+01
105,2.266778e+01
106,2.262920e+01
107,2.260530e+01
108,2.259198e+01
109,2.256029e+01
110,2.250378e+01
111,2.243442e+01
112,2.235907e+01
113,2.229012e+01
114,2.223723e+01
115,2.220409e+01
116,2.218426e+01
117,2.214665e+01
118,2.210102e+01
119,2.204420e+01
120,2.197977e+01
121,2.190814e+01
122,2.182286e+01
123,2.177896e+01
124,2.176604e+01
125,2.176976e+01
126,2.178132e+01
127,2.178087e+01
128,2.177118e+01
129,2.175271e+01
130,2.174117e+01
131,2.175460e+01
132,2.179854e+01
133,2.185958e+01
134,2.193070e+01
135,2.199299e+01
136,2.203497e+01
137,2.205667e+01
138,2.205437e+01
139,2.204468e+01
140,2.203176e+01
141,2.201700e+01
142,2.199901e+01
143,2.193439e+01
144,2.183646e+01
145,2.178376e+01
146,2.179807e+01
147,2.187292e+01
148,2.198604e+01
149,2.206490e+01
150,2.208010e+01
151,2.206044e+01
152,2.200501e+01
153,2.193207e+01
154,2.182860e+01
155,2.169402e+01
156,2.153426e+01
157,2.142762e+01
158,2.139097e+01
159,2.140908e+01
160,2.145686e+01
161,2.150601e+01
162,2.154631e+01
163,2.158058e+01
164,2.160513e+01
165,2.159494e+01
166,2.154582e+01
167,2.149437e+01
168,2.144569e+01
169,2.139513e+01
170,2.134267e+01
171,2.132271e+01
172,2.133247e+01
173,2.134084e+01
174,2.134223e+01
175,2.134919e+01
176,2.136035e+01
177,2.135107e+01
178,2.132462e+01
179,2.130003e+01
180,2.130282e+01
181,2.135481e+01
182,2.145177e+01
183,2.152301e+01
184,2.155222e+01
185,2.155041e+01
186,2.151157e+01
187,2.143599e+01
188,2.133437e+01
189,2.128330e+01
190,2.129445e+01
191,2.135435e+01
192,2.143833e+01
193,2.150046e+01
194,2.152179e+01
195,2.150742e+01
196,2.145828e+01
197,2.137895e+01
198,2.128792e+01
199,2.122981e+01
200,2.121121e+01
201,2.119819e+01
202,2.117216e+01
203,2.110378e+01
204,2.101111e+01
205,2.096681e+01
206,2.097983e+01
207,2.099384e+01
208,2.099111e+01
209,2.096461e+01
210,2.091941e+01
211,2.090261e+01
212,2.091565e+01
213,2.090494e+01
214,2.087048e+01
215,2.084625e+01
216,2.083501e+01
217,2.081033e+01
218,2.079355e+01
219,2.078795e+01
220,2.079027e+01
221,2.078653e+01
222,2.078046e+01
223,2.077533e+01
224,2.077440e+01
225,2.078094e+01
226,2.078748e+01
227,2.075760e+01
228,2.069922e+01
229,2.067727e+01
230,2.070110e+01
231,2.073566e+01
232,2.076789e+01
233,2.077442e+01
234,2.075201e+01
235,2.074174e+01
236,2.074360e+01
237,2.073006e+01
238,2.069783e+01
239,2.063288e+01
240,2.054733e+01
241,2.048416e+01
242,2.045230e+01
243,2.045741e+01
244,2.049107e+01
245,2.051867e+01
246,2.053225e+01
247,2.052854e+01
248,2.050517e+01
249,2.046354e+01
250,2.045137e+01
251,2.046681e+01
252,2.051077e+01
253,2.055943e+01
254,2.059688e+01
255,2.061233e+01
256,2.060112e+01
257,2.055998e+01
258,2.050523e+01
259,2.047103e+01
260,2.048036e+01
261,2.056033e+01
262,2.069960e+01
263,2.082940e+01
264,2.092317e+01
265,2.095395e+01
