Pixel,FLIR0264.jpg:t=18 [C]:mean:horz
1,4.055531e+01
2,4.351004e+01
3,4.463090e+01
4,4.497903e+01
5,4.384471e+01
6,4.110772e+01
7,3.713428e+01
8,3.294183e+01
9,3.019776e+01
10,2.905780e+01
11,2.826457e+01
12,2.768200e+01
13,2.698949e+01
14,2.613924e+01
15,2.543640e+01
16,2.494567e+01
17,2.458231e+01
18,2.430645e+01
19,2.413718e+01
20,2.403610e+01
21,2.403017e+01
22,2.411116e+01
23,2.424781e+01
24,2.441511e+01
25,2.458885e+01
26,2.475820e+01
27,2.495773e+01
28,2.512875e+01
29,2.524771e+01
30,2.531610e+01
31,2.538038e+01
32,2.545305e+01
33,2.552658e+01
34,2.559914e+01
35,2.565680e+01
36,2.568803e+01
37,2.569475e+01
38,2.568010e+01
39,2.566762e+01
40,2.565690e+01
41,2.559610e+01
42,2.548949e+01
43,2.538317e+01
44,2.529423e+01
45,2.521521e+01
46,2.514393e+01
47,2.505046e+01
48,2.494147e+01
49,2.483025e+01
50,2.473043e+01
51,2.466220e+01
52,2.464029e+01
53,2.461308e+01
54,2.457179e+01
55,2.452784e+01
56,2.448558e+01
57,2.444851e+01
58,2.441708e+01
59,2.437347e+01
60,2.436312e+01
61,2.436317e+01
62,2.437450e+01
63,2.439710e+01
64,2.442556e+01
65,2.443460e+01
66,2.442198e+01
67,2.442560e+01
68,2.444138e+01
69,2.444134e+01
70,2.442278e+01
71,2.440917e+01
72,2.439376e+01
73,2.433405e+01
74,2.424442e+01
75,2.418970e+01
76,2.418081e+01
77,2.418137e+01
78,2.416470e+01
79,2.410637e+01
80,2.399771e+01
81,2.387218e+01
82,2.374244e+01
83,2.363434e+01
84,2.355097e+01
85,2.347462e+01
86,2.340262e+01
87,2.333588e+01
88,2.328059e+01
89,2.326506e+01
90,2.329312e+01
91,2.330627e+01
92,2.329896e+01
93,2.330166e+01
94,2.331940e+01
95,2.334352e+01
96,2.337858e+01
97,2.343367e+01
98,2.350241e+01
99,2.356299e+01
100,2.359949e+01
101,2.361598e+01
102,2.360744e+01
103,2.358883e+01
104,2.356156e+01
105,2.352380e+01
106,2.347872e+01
107,2.344498e+01
108,2.341212e+01
109,2.336060e+01
110,2.328265e+01
111,2.321241e+01
112,2.315400e+01
113,2.310382e+01
114,2.305730e+01
115,2.301757e+01
116,2.297731e+01
117,2.291823e+01
118,2.285068e+01
119,2.278313e+01
120,2.272228e+01
121,2.266805e+01
122,2.260704e+01
123,2.256392e+01
124,2.252998e+01
125,2.251577e+01
126,2.252130e+01
127,2.252636e+01
128,2.251993e+01
129,2.248963e+01
130,2.244462e+01
131,2.242627e+01
132,2.244516e+01
133,2.250584e+01
134,2.259947e+01
135,2.268934e+01
136,2.275949e+01
137,2.279250e+01
138,2.278930e+01
139,2.277371e+01
140,2.275948e+01
141,2.274895e+01
142,2.273614e+01
143,2.267334e+01
144,2.256921e+01
145,2.250124e+01
146,2.249980e+01
147,2.258289e+01
148,2.272740e+01
149,2.281353e+01
150,2.280110e+01
151,2.276290e+01
152,2.269139e+01
153,2.259400e+01
154,2.245943e+01
155,2.228192e+01
156,2.207553e+01
157,2.194310e+01
158,2.190986e+01
159,2.194267e+01
160,2.201653e+01
161,2.208434e+01
162,2.212860e+01
163,2.216085e+01
164,2.218063e+01
165,2.217923e+01
166,2.215298e+01
167,2.208524e+01
168,2.198098e+01
169,2.189325e+01
170,2.183871e+01
171,2.183224e+01
172,2.186784e+01
173,2.191174e+01
174,2.194405e+01
175,2.196107e+01
176,2.195458e+01
177,2.193060e+01
178,2.189605e+01
179,2.185636e+01
180,2.183464e+01
181,2.189100e+01
182,2.201607e+01
183,2.211057e+01
184,2.214768e+01
185,2.214724e+01
186,2.210969e+01
187,2.201792e+01
188,2.189236e+01
189,2.181844e+01
190,2.182307e+01
191,2.190439e+01
192,2.203685e+01
193,2.212445e+01
194,2.214058e+01
195,2.211339e+01
196,2.204976e+01
197,2.195148e+01
198,2.183738e+01
199,2.176063e+01
200,2.172777e+01
201,2.171479e+01
202,2.169767e+01
203,2.162499e+01
204,2.150354e+01
205,2.144086e+01
206,2.144873e+01
207,2.146268e+01
208,2.146043e+01
209,2.142201e+01
210,2.135613e+01
211,2.130685e+01
212,2.128452e+01
213,2.127385e+01
214,2.126555e+01
215,2.124100e+01
216,2.120165e+01
217,2.117826e+01
218,2.118339e+01
219,2.118200e+01
220,2.117037e+01
221,2.113501e+01
222,2.108801e+01
223,2.106521e+01
224,2.107080e+01
225,2.108571e+01
226,2.110105e+01
227,2.108197e+01
228,2.103219e+01
229,2.100751e+01
230,2.102193e+01
231,2.105453e+01
232,2.109270e+01
233,2.110386e+01
234,2.108618e+01
235,2.107128e+01
236,2.105684e+01
237,2.103822e+01
238,2.100377e+01
239,2.092177e+01
240,2.080425e+01
241,2.071087e+01
242,2.066505e+01
243,2.067011e+01
244,2.071814e+01
245,2.077788e+01
246,2.082227e+01
247,2.081815e+01
248,2.076267e+01
249,2.068283e+01
250,2.062907e+01
251,2.063840e+01
252,2.071268e+01
253,2.079768e+01
254,2.086816e+01
255,2.089801e+01
256,2.087796e+01
257,2.081033e+01
258,2.072023e+01
259,2.066555e+01
260,2.067017e+01
261,2.075093e+01
262,2.089460e+01
263,2.104001e+01
264,2.115687e+01
265,2.123963e+01
