Pixel,FLIR0284.jpg:t=54 [C]:mean:horz
1,3.725031e+01
2,4.089801e+01
3,4.284550e+01
4,4.392034e+01
5,4.367903e+01
6,4.157531e+01
7,3.779786e+01
8,3.374384e+01
9,3.071453e+01
10,2.915808e+01
11,2.815464e+01
12,2.741856e+01
13,2.669430e+01
14,2.589956e+01
15,2.523673e+01
16,2.474624e+01
17,2.441248e+01
18,2.421812e+01
19,2.414150e+01
20,2.417540e+01
21,2.426070e+01
22,2.439083e+01
23,2.458842e+01
24,2.483242e+01
25,2.506953e+01
26,2.528527e+01
27,2.551244e+01
28,2.568089e+01
29,2.581189e+01
30,2.590257e+01
31,2.598619e+01
32,2.606496e+01
33,2.612555e+01
34,2.616925e+01
35,2.620162e+01
36,2.622833e+01
37,2.625933e+01
38,2.629419e+01
39,2.632731e+01
40,2.635053e+01
41,2.634794e+01
42,2.631732e+01
43,2.627593e+01
44,2.623370e+01
45,2.620354e+01
46,2.618720e+01
47,2.615535e+01
48,2.611271e+01
49,2.610284e+01
50,2.612314e+01
51,2.611801e+01
52,2.608656e+01
53,2.606501e+01
54,2.606026e+01
55,2.604862e+01
56,2.602792e+01
57,2.600723e+01
58,2.598631e+01
59,2.597964e+01
60,2.598137e+01
61,2.598095e+01
62,2.597707e+01
63,2.599520e+01
64,2.602539e+01
65,2.605947e+01
66,2.608275e+01
67,2.609955e+01
68,2.610817e+01
69,2.611507e+01
70,2.611938e+01
71,2.612240e+01
72,2.612930e+01
73,2.614395e+01
74,2.616376e+01
75,2.619047e+01
76,2.622235e+01
77,2.626455e+01
78,2.631790e+01
79,2.636607e+01
80,2.640993e+01
81,2.644603e+01
82,2.647567e+01
83,2.649414e+01
84,2.650273e+01
85,2.649800e+01
86,2.648081e+01
87,2.645976e+01
88,2.644601e+01
89,2.644602e+01
90,2.646591e+01
91,2.649869e+01
92,2.654075e+01
93,2.657661e+01
94,2.660714e+01
95,2.665048e+01
96,2.670351e+01
97,2.673051e+01
98,2.673181e+01
99,2.674597e+01
100,2.677427e+01
101,2.677857e+01
102,2.675115e+01
103,2.671686e+01
104,2.668170e+01
105,2.666496e+01
106,2.666282e+01
107,2.667569e+01
108,2.669198e+01
109,2.669242e+01
110,2.667784e+01
111,2.665296e+01
112,2.663323e+01
113,2.662037e+01
114,2.661693e+01
115,2.661564e+01
116,2.661822e+01
117,2.661736e+01
118,2.661563e+01
119,2.662206e+01
120,2.664049e+01
121,2.667009e+01
122,2.670756e+01
123,2.671906e+01
124,2.671596e+01
125,2.672568e+01
126,2.674911e+01
127,2.676546e+01
128,2.676723e+01
129,2.677607e+01
130,2.679109e+01
131,2.682025e+01
132,2.685956e+01
133,2.688392e+01
134,2.691731e+01
135,2.695238e+01
136,2.699131e+01
137,2.702210e+01
138,2.703835e+01
139,2.703152e+01
140,2.700459e+01
141,2.698149e+01
142,2.696010e+01
143,2.691390e+01
144,2.684797e+01
145,2.680597e+01
146,2.679907e+01
147,2.683374e+01
148,2.689967e+01
149,2.697757e+01
150,2.704388e+01
151,2.707724e+01
152,2.706871e+01
153,2.702896e+01
154,2.696505e+01
155,2.686002e+01
156,2.673587e+01
157,2.664831e+01
158,2.661866e+01
159,2.665140e+01
160,2.672879e+01
161,2.681054e+01
162,2.687987e+01
163,2.693767e+01
164,2.698263e+01
165,2.700820e+01
166,2.700998e+01
167,2.695972e+01
168,2.686176e+01
169,2.675090e+01
170,2.665141e+01
171,2.660276e+01
172,2.662250e+01
173,2.666625e+01
174,2.671429e+01
175,2.674900e+01
176,2.675842e+01
177,2.674728e+01
178,2.671899e+01
179,2.667010e+01
180,2.662032e+01
181,2.664861e+01
182,2.675537e+01
183,2.686761e+01
184,2.695149e+01
185,2.697161e+01
186,2.693503e+01
187,2.684541e+01
188,2.673271e+01
189,2.663937e+01
190,2.659599e+01
191,2.665752e+01
192,2.680212e+01
193,2.692136e+01
194,2.697739e+01
195,2.699238e+01
196,2.695884e+01
197,2.686525e+01
198,2.672956e+01
199,2.662558e+01
200,2.656805e+01
201,2.654858e+01
202,2.653398e+01
203,2.641395e+01
204,2.620630e+01
205,2.608449e+01
206,2.608224e+01
207,2.613343e+01
208,2.620150e+01
209,2.622662e+01
210,2.620143e+01
211,2.618353e+01
212,2.618563e+01
213,2.621284e+01
214,2.624702e+01
215,2.622005e+01
216,2.613562e+01
217,2.607872e+01
218,2.603517e+01
219,2.600498e+01
220,2.597699e+01
221,2.590044e+01
222,2.578725e+01
223,2.569136e+01
224,2.565076e+01
225,2.569761e+01
226,2.579969e+01
227,2.578808e+01
228,2.565785e+01
229,2.552972e+01
230,2.546583e+01
231,2.554358e+01
232,2.572875e+01
233,2.579194e+01
234,2.570625e+01
235,2.563401e+01
236,2.560915e+01
237,2.568241e+01
238,2.573728e+01
239,2.532395e+01
240,2.447275e+01
241,2.368236e+01
242,2.315085e+01
243,2.298710e+01
244,2.319867e+01
245,2.367216e+01
246,2.424881e+01
247,2.459542e+01
248,2.464073e+01
249,2.438556e+01
250,2.386065e+01
251,2.348604e+01
252,2.342663e+01
253,2.384626e+01
254,2.460184e+01
255,2.511968e+01
256,2.520726e+01
257,2.477889e+01
258,2.397556e+01
259,2.334713e+01
260,2.308769e+01
261,2.320207e+01
262,2.366838e+01
263,2.442524e+01
264,2.524905e+01
265,2.587802e+01
