Pixel,FLIR0276.jpg:t=40 [C]:mean:horz
1,3.869671e+01
2,4.185826e+01
3,4.357504e+01
4,4.436654e+01
5,4.389907e+01
6,4.167493e+01
7,3.782310e+01
8,3.351314e+01
9,3.054366e+01
10,2.915553e+01
11,2.825043e+01
12,2.759521e+01
13,2.690426e+01
14,2.609738e+01
15,2.541192e+01
16,2.489955e+01
17,2.452848e+01
18,2.427973e+01
19,2.417620e+01
20,2.417480e+01
21,2.424325e+01
22,2.437531e+01
23,2.458172e+01
24,2.483899e+01
25,2.507767e+01
26,2.527805e+01
27,2.550245e+01
28,2.568309e+01
29,2.581766e+01
30,2.590675e+01
31,2.598594e+01
32,2.606767e+01
33,2.614258e+01
34,2.620846e+01
35,2.626580e+01
36,2.631243e+01
37,2.635148e+01
38,2.638342e+01
39,2.640738e+01
40,2.641357e+01
41,2.640068e+01
42,2.636248e+01
43,2.631271e+01
44,2.626076e+01
45,2.621545e+01
46,2.618568e+01
47,2.616972e+01
48,2.616400e+01
49,2.615292e+01
50,2.613648e+01
51,2.611146e+01
52,2.609941e+01
53,2.608003e+01
54,2.605546e+01
55,2.604081e+01
56,2.603221e+01
57,2.601929e+01
58,2.599944e+01
59,2.597563e+01
60,2.596275e+01
61,2.595742e+01
62,2.596009e+01
63,2.596899e+01
64,2.598724e+01
65,2.599836e+01
66,2.600727e+01
67,2.601662e+01
68,2.603219e+01
69,2.604909e+01
70,2.606598e+01
71,2.608287e+01
72,2.609975e+01
73,2.610775e+01
74,2.611352e+01
75,2.612641e+01
76,2.614819e+01
77,2.617085e+01
78,2.619218e+01
79,2.622328e+01
80,2.626280e+01
81,2.628277e+01
82,2.627922e+01
83,2.626724e+01
84,2.624386e+01
85,2.621973e+01
86,2.620161e+01
87,2.618479e+01
88,2.617014e+01
89,2.617616e+01
90,2.620854e+01
91,2.623917e+01
92,2.626623e+01
93,2.628306e+01
94,2.629276e+01
95,2.632159e+01
96,2.637305e+01
97,2.641032e+01
98,2.643518e+01
99,2.646801e+01
100,2.650880e+01
101,2.651503e+01
102,2.648494e+01
103,2.645527e+01
104,2.643622e+01
105,2.641760e+01
106,2.640696e+01
107,2.639942e+01
108,2.639497e+01
109,2.638388e+01
110,2.636570e+01
111,2.632932e+01
112,2.628583e+01
113,2.625078e+01
114,2.622683e+01
115,2.619931e+01
116,2.616955e+01
117,2.614007e+01
118,2.612323e+01
119,2.611416e+01
120,2.610855e+01
121,2.609732e+01
122,2.608010e+01
123,2.606587e+01
124,2.606100e+01
125,2.605923e+01
126,2.606191e+01
127,2.607303e+01
128,2.608859e+01
129,2.608816e+01
130,2.607661e+01
131,2.608151e+01
132,2.611264e+01
133,2.615976e+01
134,2.621926e+01
135,2.628893e+01
136,2.635680e+01
137,2.640205e+01
138,2.641714e+01
139,2.640387e+01
140,2.636441e+01
141,2.632138e+01
142,2.627036e+01
143,2.616600e+01
144,2.601795e+01
145,2.588526e+01
146,2.581339e+01
147,2.589752e+01
148,2.611469e+01
149,2.627643e+01
150,2.632685e+01
151,2.634281e+01
152,2.631617e+01
153,2.624216e+01
154,2.611223e+01
155,2.585769e+01
156,2.552972e+01
157,2.534454e+01
158,2.534455e+01
159,2.543853e+01
160,2.558738e+01
161,2.572173e+01
162,2.581759e+01
163,2.588217e+01
164,2.591329e+01
165,2.592797e+01
166,2.591017e+01
167,2.581396e+01
168,2.563734e+01
169,2.539292e+01
170,2.515055e+01
171,2.512317e+01
172,2.530740e+01
173,2.546492e+01
174,2.553823e+01
175,2.559135e+01
176,2.561632e+01
177,2.559265e+01
178,2.552030e+01
179,2.538040e+01
180,2.523082e+01
181,2.526880e+01
182,2.548850e+01
183,2.568702e+01
184,2.578955e+01
185,2.583841e+01
186,2.583226e+01
187,2.567974e+01
188,2.542996e+01
189,2.523743e+01
190,2.517246e+01
191,2.530287e+01
192,2.558330e+01
193,2.576719e+01
194,2.580510e+01
195,2.581090e+01
196,2.577566e+01
197,2.555025e+01
198,2.518593e+01
199,2.498314e+01
200,2.498178e+01
201,2.503341e+01
202,2.504825e+01
203,2.485876e+01
204,2.451382e+01
205,2.437154e+01
206,2.447935e+01
207,2.464711e+01
208,2.478276e+01
209,2.476754e+01
210,2.461912e+01
211,2.454352e+01
212,2.456878e+01
213,2.461174e+01
214,2.463265e+01
215,2.458463e+01
216,2.447151e+01
217,2.440915e+01
218,2.437533e+01
219,2.435554e+01
220,2.431720e+01
221,2.419608e+01
222,2.401413e+01
223,2.391486e+01
224,2.392846e+01
225,2.402496e+01
226,2.413987e+01
227,2.407652e+01
228,2.385001e+01
229,2.369480e+01
230,2.367346e+01
231,2.379741e+01
232,2.400043e+01
233,2.404062e+01
234,2.391012e+01
235,2.383356e+01
236,2.384957e+01
237,2.394528e+01
238,2.400952e+01
239,2.363195e+01
240,2.285928e+01
241,2.223952e+01
242,2.193880e+01
243,2.191935e+01
244,2.214306e+01
245,2.250533e+01
246,2.288150e+01
247,2.302179e+01
248,2.289016e+01
249,2.264993e+01
250,2.235706e+01
251,2.219016e+01
252,2.223945e+01
253,2.263240e+01
254,2.324408e+01
255,2.358832e+01
256,2.353481e+01
257,2.310911e+01
258,2.244609e+01
259,2.199294e+01
260,2.189022e+01
261,2.210808e+01
262,2.258697e+01
263,2.319520e+01
264,2.375956e+01
265,2.421862e+01
