Pixel,FLIR0272.jpg:t=32 [C]:mean:horz
1,3.826137e+01
2,4.188314e+01
3,4.389490e+01
4,4.470064e+01
5,4.426955e+01
6,4.207191e+01
7,3.824333e+01
8,3.390673e+01
9,3.087462e+01
10,2.939875e+01
11,2.845336e+01
12,2.782344e+01
13,2.714447e+01
14,2.633055e+01
15,2.563195e+01
16,2.510424e+01
17,2.470720e+01
18,2.442641e+01
19,2.429702e+01
20,2.427724e+01
21,2.434054e+01
22,2.447069e+01
23,2.466720e+01
24,2.490630e+01
25,2.513697e+01
26,2.534251e+01
27,2.557020e+01
28,2.574946e+01
29,2.588981e+01
30,2.599935e+01
31,2.609707e+01
32,2.619151e+01
33,2.628326e+01
34,2.637223e+01
35,2.643306e+01
36,2.646542e+01
37,2.648359e+01
38,2.649512e+01
39,2.650486e+01
40,2.651147e+01
41,2.650300e+01
42,2.647189e+01
43,2.642834e+01
44,2.637728e+01
45,2.631915e+01
46,2.625927e+01
47,2.620378e+01
48,2.615580e+01
49,2.612384e+01
50,2.610701e+01
51,2.607686e+01
52,2.605016e+01
53,2.603292e+01
54,2.602691e+01
55,2.600624e+01
56,2.597178e+01
57,2.594376e+01
58,2.592996e+01
59,2.591064e+01
60,2.589773e+01
61,2.589419e+01
62,2.590445e+01
63,2.593161e+01
64,2.596499e+01
65,2.599348e+01
66,2.601796e+01
67,2.604554e+01
68,2.607178e+01
69,2.608555e+01
70,2.608508e+01
71,2.608640e+01
72,2.609084e+01
73,2.607259e+01
74,2.603699e+01
75,2.602095e+01
76,2.603430e+01
77,2.606456e+01
78,2.610061e+01
79,2.611130e+01
80,2.609487e+01
81,2.607709e+01
82,2.605619e+01
83,2.600859e+01
84,2.593130e+01
85,2.586953e+01
86,2.582759e+01
87,2.579860e+01
88,2.577914e+01
89,2.578085e+01
90,2.581565e+01
91,2.584366e+01
92,2.587031e+01
93,2.588671e+01
94,2.589510e+01
95,2.591514e+01
96,2.595168e+01
97,2.600378e+01
98,2.606919e+01
99,2.614037e+01
100,2.619775e+01
101,2.620627e+01
102,2.616681e+01
103,2.613663e+01
104,2.612417e+01
105,2.610105e+01
106,2.606458e+01
107,2.603521e+01
108,2.600983e+01
109,2.597512e+01
110,2.592392e+01
111,2.586246e+01
112,2.579475e+01
113,2.575286e+01
114,2.573506e+01
115,2.570074e+01
116,2.565255e+01
117,2.560053e+01
118,2.556674e+01
119,2.553033e+01
120,2.548956e+01
121,2.542406e+01
122,2.534402e+01
123,2.529030e+01
124,2.527152e+01
125,2.528586e+01
126,2.531720e+01
127,2.531496e+01
128,2.527693e+01
129,2.524737e+01
130,2.523616e+01
131,2.524423e+01
132,2.527248e+01
133,2.532804e+01
134,2.540723e+01
135,2.549930e+01
136,2.558552e+01
137,2.563599e+01
138,2.564138e+01
139,2.562890e+01
140,2.560390e+01
141,2.557220e+01
142,2.552575e+01
143,2.541757e+01
144,2.525688e+01
145,2.510087e+01
146,2.499842e+01
147,2.508629e+01
148,2.533548e+01
149,2.552872e+01
150,2.559916e+01
151,2.560309e+01
152,2.554333e+01
153,2.544585e+01
154,2.530388e+01
155,2.506006e+01
156,2.474148e+01
157,2.451758e+01
158,2.443725e+01
159,2.449320e+01
160,2.464963e+01
161,2.478197e+01
162,2.485886e+01
163,2.492268e+01
164,2.496847e+01
165,2.498459e+01
166,2.495763e+01
167,2.486732e+01
168,2.471709e+01
169,2.450809e+01
170,2.429904e+01
171,2.425518e+01
172,2.437858e+01
173,2.450723e+01
174,2.459105e+01
175,2.463874e+01
176,2.464907e+01
177,2.463737e+01
178,2.460138e+01
179,2.448288e+01
180,2.432896e+01
181,2.436594e+01
182,2.458738e+01
183,2.478605e+01
184,2.488983e+01
185,2.493516e+01
186,2.492397e+01
187,2.478100e+01
188,2.454813e+01
189,2.435951e+01
190,2.427823e+01
191,2.438712e+01
192,2.464373e+01
193,2.482692e+01
194,2.488357e+01
195,2.488762e+01
196,2.483366e+01
197,2.462525e+01
198,2.431121e+01
199,2.412443e+01
200,2.410042e+01
201,2.414068e+01
202,2.417283e+01
203,2.402487e+01
204,2.372822e+01
205,2.357586e+01
206,2.361578e+01
207,2.371762e+01
208,2.381313e+01
209,2.379147e+01
210,2.366006e+01
211,2.357658e+01
212,2.357146e+01
213,2.359159e+01
214,2.360954e+01
215,2.358060e+01
216,2.350237e+01
217,2.344957e+01
218,2.341087e+01
219,2.337402e+01
220,2.332620e+01
221,2.322907e+01
222,2.310216e+01
223,2.302446e+01
224,2.302126e+01
225,2.309344e+01
226,2.319974e+01
227,2.317967e+01
228,2.302950e+01
229,2.290742e+01
230,2.286714e+01
231,2.296274e+01
232,2.314768e+01
233,2.320510e+01
234,2.311981e+01
235,2.305092e+01
236,2.303500e+01
237,2.306608e+01
238,2.308155e+01
239,2.282125e+01
240,2.230858e+01
241,2.185447e+01
242,2.157126e+01
243,2.151536e+01
244,2.167276e+01
245,2.193046e+01
246,2.219308e+01
247,2.229624e+01
248,2.221129e+01
249,2.204995e+01
250,2.185848e+01
251,2.174623e+01
252,2.177024e+01
253,2.201919e+01
254,2.241346e+01
255,2.264210e+01
256,2.261996e+01
257,2.235169e+01
258,2.193019e+01
259,2.163154e+01
260,2.155592e+01
261,2.169410e+01
262,2.202325e+01
263,2.248016e+01
264,2.293612e+01
265,2.326951e+01
