Pixel,FLIR0268.jpg:t=25 [C]:mean:horz
1,3.958820e+01
2,4.296940e+01
3,4.466904e+01
4,4.524056e+01
5,4.447353e+01
6,4.202659e+01
7,3.808525e+01
8,3.369378e+01
9,3.074237e+01
10,2.944737e+01
11,2.856240e+01
12,2.792409e+01
13,2.724180e+01
14,2.645575e+01
15,2.579258e+01
16,2.529918e+01
17,2.490837e+01
18,2.460372e+01
19,2.444566e+01
20,2.439025e+01
21,2.439530e+01
22,2.446203e+01
23,2.463046e+01
24,2.488289e+01
25,2.512057e+01
26,2.531595e+01
27,2.552838e+01
28,2.568839e+01
29,2.581667e+01
30,2.591953e+01
31,2.601910e+01
32,2.611988e+01
33,2.620679e+01
34,2.627450e+01
35,2.630879e+01
36,2.631371e+01
37,2.632170e+01
38,2.633721e+01
39,2.635895e+01
40,2.637980e+01
41,2.637575e+01
42,2.633969e+01
43,2.627919e+01
44,2.620356e+01
45,2.613637e+01
46,2.608298e+01
47,2.601669e+01
48,2.593523e+01
49,2.586710e+01
50,2.581634e+01
51,2.575345e+01
52,2.570252e+01
53,2.566540e+01
54,2.564038e+01
55,2.560410e+01
56,2.556044e+01
57,2.552631e+01
58,2.550298e+01
59,2.547427e+01
60,2.545460e+01
61,2.545775e+01
62,2.547744e+01
63,2.550786e+01
64,2.553513e+01
65,2.554675e+01
66,2.554184e+01
67,2.554049e+01
68,2.554584e+01
69,2.555698e+01
70,2.557037e+01
71,2.556811e+01
72,2.554882e+01
73,2.552194e+01
74,2.549550e+01
75,2.547760e+01
76,2.547095e+01
77,2.547995e+01
78,2.549209e+01
79,2.546487e+01
80,2.539425e+01
81,2.531461e+01
82,2.523895e+01
83,2.517084e+01
84,2.511454e+01
85,2.505362e+01
86,2.498525e+01
87,2.492116e+01
88,2.487139e+01
89,2.485126e+01
90,2.487424e+01
91,2.488497e+01
92,2.488580e+01
93,2.487812e+01
94,2.487409e+01
95,2.489162e+01
96,2.493789e+01
97,2.500432e+01
98,2.508325e+01
99,2.516447e+01
100,2.523005e+01
101,2.523871e+01
102,2.519222e+01
103,2.514925e+01
104,2.512640e+01
105,2.510353e+01
106,2.507973e+01
107,2.505052e+01
108,2.501188e+01
109,2.496021e+01
110,2.489954e+01
111,2.482310e+01
112,2.474303e+01
113,2.467919e+01
114,2.463607e+01
115,2.459916e+01
116,2.456355e+01
117,2.450788e+01
118,2.445319e+01
119,2.439628e+01
120,2.433979e+01
121,2.426748e+01
122,2.418371e+01
123,2.412760e+01
124,2.409909e+01
125,2.409683e+01
126,2.411310e+01
127,2.411311e+01
128,2.409731e+01
129,2.407109e+01
130,2.404533e+01
131,2.402905e+01
132,2.403585e+01
133,2.408205e+01
134,2.416348e+01
135,2.424213e+01
136,2.430313e+01
137,2.433658e+01
138,2.434249e+01
139,2.433891e+01
140,2.433169e+01
141,2.431949e+01
142,2.429509e+01
143,2.419792e+01
144,2.405174e+01
145,2.393525e+01
146,2.389203e+01
147,2.399577e+01
148,2.421041e+01
149,2.435643e+01
150,2.438100e+01
151,2.434819e+01
152,2.426147e+01
153,2.415361e+01
154,2.401368e+01
155,2.377925e+01
156,2.347967e+01
157,2.331061e+01
158,2.330104e+01
159,2.337491e+01
160,2.349471e+01
161,2.360481e+01
162,2.368436e+01
163,2.373477e+01
164,2.375471e+01
165,2.374831e+01
166,2.371152e+01
167,2.362020e+01
168,2.348148e+01
169,2.331705e+01
170,2.316189e+01
171,2.313495e+01
172,2.322861e+01
173,2.332302e+01
174,2.338450e+01
175,2.341498e+01
176,2.341084e+01
177,2.339172e+01
178,2.335258e+01
179,2.326464e+01
180,2.316381e+01
181,2.322493e+01
182,2.343323e+01
183,2.357916e+01
184,2.361399e+01
185,2.362193e+01
186,2.361159e+01
187,2.350105e+01
188,2.332340e+01
189,2.320389e+01
190,2.318429e+01
191,2.329014e+01
192,2.348286e+01
193,2.361389e+01
194,2.364891e+01
195,2.363938e+01
196,2.358345e+01
197,2.340411e+01
198,2.314230e+01
199,2.299973e+01
200,2.299921e+01
201,2.301242e+01
202,2.298546e+01
203,2.285875e+01
204,2.265940e+01
205,2.256295e+01
206,2.259681e+01
207,2.265922e+01
208,2.271070e+01
209,2.267554e+01
210,2.256814e+01
211,2.249725e+01
212,2.247791e+01
213,2.246880e+01
214,2.245009e+01
215,2.241435e+01
216,2.235966e+01
217,2.232374e+01
218,2.229802e+01
219,2.227459e+01
220,2.224192e+01
221,2.217099e+01
222,2.207511e+01
223,2.204004e+01
224,2.207139e+01
225,2.212073e+01
226,2.215389e+01
227,2.211797e+01
228,2.202670e+01
229,2.197364e+01
230,2.198656e+01
231,2.204190e+01
232,2.211837e+01
233,2.214692e+01
234,2.212117e+01
235,2.210047e+01
236,2.208895e+01
237,2.207649e+01
238,2.202804e+01
239,2.183688e+01
240,2.152499e+01
241,2.127167e+01
242,2.114007e+01
243,2.112920e+01
244,2.122566e+01
245,2.137148e+01
246,2.151222e+01
247,2.154668e+01
248,2.146470e+01
249,2.133108e+01
250,2.119918e+01
251,2.115267e+01
252,2.121818e+01
253,2.138491e+01
254,2.159497e+01
255,2.169543e+01
256,2.164634e+01
257,2.151201e+01
258,2.133671e+01
259,2.121404e+01
260,2.118693e+01
261,2.129418e+01
262,2.151782e+01
263,2.179429e+01
264,2.204692e+01
265,2.226346e+01
