Pixel,FLIR0278.jpg:t=43 [C]:mean:horz
1,3.856240e+01
2,4.164154e+01
3,4.334570e+01
4,4.420806e+01
5,4.380069e+01
6,4.159954e+01
7,3.773978e+01
8,3.345704e+01
9,3.050350e+01
10,2.908441e+01
11,2.818366e+01
12,2.753957e+01
13,2.684840e+01
14,2.602684e+01
15,2.533566e+01
16,2.483218e+01
17,2.449431e+01
18,2.429675e+01
19,2.421984e+01
20,2.421910e+01
21,2.429195e+01
22,2.442650e+01
23,2.463183e+01
24,2.487975e+01
25,2.511349e+01
26,2.531034e+01
27,2.553676e+01
28,2.571029e+01
29,2.584088e+01
30,2.592467e+01
31,2.600072e+01
32,2.607928e+01
33,2.616660e+01
34,2.625999e+01
35,2.631819e+01
36,2.634260e+01
37,2.636390e+01
38,2.638786e+01
39,2.640825e+01
40,2.641931e+01
41,2.641973e+01
42,2.640418e+01
43,2.637131e+01
44,2.632201e+01
45,2.626384e+01
46,2.621012e+01
47,2.617196e+01
48,2.615690e+01
49,2.614138e+01
50,2.612584e+01
51,2.610976e+01
52,2.610806e+01
53,2.609730e+01
54,2.607359e+01
55,2.604341e+01
56,2.601581e+01
57,2.599769e+01
58,2.599080e+01
59,2.598675e+01
60,2.599569e+01
61,2.601082e+01
62,2.603348e+01
63,2.605172e+01
64,2.606553e+01
65,2.607755e+01
66,2.608601e+01
67,2.609400e+01
68,2.609577e+01
69,2.609399e+01
70,2.609532e+01
71,2.610643e+01
72,2.612821e+01
73,2.614954e+01
74,2.616285e+01
75,2.617751e+01
76,2.619305e+01
77,2.622814e+01
78,2.628097e+01
79,2.632625e+01
80,2.635375e+01
81,2.638124e+01
82,2.640738e+01
83,2.641312e+01
84,2.639655e+01
85,2.637117e+01
86,2.634321e+01
87,2.631827e+01
88,2.630494e+01
89,2.631611e+01
90,2.636123e+01
91,2.638871e+01
92,2.640600e+01
93,2.643612e+01
94,2.647374e+01
95,2.650117e+01
96,2.651932e+01
97,2.654548e+01
98,2.658093e+01
99,2.661902e+01
100,2.665045e+01
101,2.665577e+01
102,2.662747e+01
103,2.658677e+01
104,2.654739e+01
105,2.652525e+01
106,2.652391e+01
107,2.652302e+01
108,2.651682e+01
109,2.650221e+01
110,2.647783e+01
111,2.645701e+01
112,2.643753e+01
113,2.641715e+01
114,2.639455e+01
115,2.637726e+01
116,2.636617e+01
117,2.635444e+01
118,2.635616e+01
119,2.635614e+01
120,2.635096e+01
121,2.634579e+01
122,2.634083e+01
123,2.634038e+01
124,2.634569e+01
125,2.635457e+01
126,2.636347e+01
127,2.637634e+01
128,2.638476e+01
129,2.637543e+01
130,2.635502e+01
131,2.635947e+01
132,2.639542e+01
133,2.645040e+01
134,2.651551e+01
135,2.657350e+01
136,2.661645e+01
137,2.664433e+01
138,2.665629e+01
139,2.664833e+01
140,2.662134e+01
141,2.657575e+01
142,2.652042e+01
143,2.643269e+01
144,2.632714e+01
145,2.622810e+01
146,2.617156e+01
147,2.624168e+01
148,2.641787e+01
149,2.656457e+01
150,2.662673e+01
151,2.664650e+01
152,2.661477e+01
153,2.653795e+01
154,2.641671e+01
155,2.619174e+01
156,2.590619e+01
157,2.573681e+01
158,2.572346e+01
159,2.581710e+01
160,2.598100e+01
161,2.613221e+01
162,2.624149e+01
163,2.630717e+01
164,2.633021e+01
165,2.633018e+01
166,2.630532e+01
167,2.621478e+01
168,2.606238e+01
169,2.584785e+01
170,2.562749e+01
171,2.557972e+01
172,2.570967e+01
173,2.585501e+01
174,2.595875e+01
175,2.600634e+01
176,2.599386e+01
177,2.594759e+01
178,2.587725e+01
179,2.576764e+01
180,2.566188e+01
181,2.571093e+01
182,2.590926e+01
183,2.609388e+01
184,2.619905e+01
185,2.624340e+01
186,2.622059e+01
187,2.606282e+01
188,2.582015e+01
189,2.564393e+01
190,2.559301e+01
191,2.572292e+01
192,2.598229e+01
193,2.616640e+01
194,2.622503e+01
195,2.623435e+01
196,2.619171e+01
197,2.598893e+01
198,2.567689e+01
199,2.549600e+01
200,2.548223e+01
201,2.550146e+01
202,2.549474e+01
203,2.530733e+01
204,2.499255e+01
205,2.486039e+01
206,2.495069e+01
207,2.508317e+01
208,2.518508e+01
209,2.517126e+01
210,2.505482e+01
211,2.500423e+01
212,2.504373e+01
213,2.509231e+01
214,2.512031e+01
215,2.506756e+01
216,2.494292e+01
217,2.488560e+01
218,2.487937e+01
219,2.486687e+01
220,2.482016e+01
221,2.470185e+01
222,2.453651e+01
223,2.443321e+01
224,2.441605e+01
225,2.448507e+01
226,2.459051e+01
227,2.453057e+01
228,2.431449e+01
229,2.415810e+01
230,2.412642e+01
231,2.426339e+01
232,2.450611e+01
233,2.456819e+01
234,2.443518e+01
235,2.434686e+01
236,2.434520e+01
237,2.443368e+01
238,2.448996e+01
239,2.408598e+01
240,2.326908e+01
241,2.260028e+01
242,2.226054e+01
243,2.220748e+01
244,2.241759e+01
245,2.281183e+01
246,2.325853e+01
247,2.345041e+01
248,2.333351e+01
249,2.305997e+01
250,2.269495e+01
251,2.249464e+01
252,2.256213e+01
253,2.299233e+01
254,2.364204e+01
255,2.399634e+01
256,2.391810e+01
257,2.347569e+01
258,2.281490e+01
259,2.235001e+01
260,2.222505e+01
261,2.243714e+01
262,2.293189e+01
263,2.358551e+01
264,2.420910e+01
265,2.467525e+01
