Pixel,FLIR0260.jpg:t=11 [C]:mean:horz
1,4.166478e+01
2,4.388921e+01
3,4.413190e+01
4,4.381701e+01
5,4.222118e+01
6,3.933406e+01
7,3.546871e+01
8,3.150054e+01
9,2.896569e+01
10,2.807785e+01
11,2.740232e+01
12,2.682303e+01
13,2.616833e+01
14,2.541402e+01
15,2.478635e+01
16,2.433235e+01
17,2.399619e+01
18,2.374429e+01
19,2.359837e+01
20,2.351298e+01
21,2.345889e+01
22,2.343151e+01
23,2.346648e+01
24,2.355770e+01
25,2.366864e+01
26,2.377728e+01
27,2.388737e+01
28,2.396619e+01
29,2.400748e+01
30,2.401663e+01
31,2.403798e+01
32,2.407832e+01
33,2.413994e+01
34,2.420426e+01
35,2.422472e+01
36,2.419317e+01
37,2.415524e+01
38,2.412132e+01
39,2.410410e+01
40,2.409319e+01
41,2.405236e+01
42,2.397454e+01
43,2.387980e+01
44,2.378084e+01
45,2.369728e+01
46,2.362348e+01
47,2.350949e+01
48,2.336382e+01
49,2.325284e+01
50,2.318955e+01
51,2.313128e+01
52,2.309287e+01
53,2.305608e+01
54,2.301604e+01
55,2.297420e+01
56,2.293231e+01
57,2.289030e+01
58,2.284643e+01
59,2.277111e+01
60,2.274185e+01
61,2.272817e+01
62,2.273237e+01
63,2.274203e+01
64,2.275533e+01
65,2.277688e+01
66,2.280576e+01
67,2.283691e+01
68,2.286116e+01
69,2.286158e+01
70,2.283910e+01
71,2.281937e+01
72,2.279368e+01
73,2.272720e+01
74,2.262530e+01
75,2.255871e+01
76,2.253584e+01
77,2.250196e+01
78,2.244644e+01
79,2.236970e+01
80,2.227539e+01
81,2.219021e+01
82,2.211923e+01
83,2.205841e+01
84,2.199829e+01
85,2.193610e+01
86,2.186442e+01
87,2.180390e+01
88,2.176219e+01
89,2.174157e+01
90,2.173561e+01
91,2.174392e+01
92,2.176194e+01
93,2.177119e+01
94,2.177812e+01
95,2.180355e+01
96,2.184563e+01
97,2.188999e+01
98,2.193248e+01
99,2.196387e+01
100,2.198002e+01
101,2.199620e+01
102,2.200915e+01
103,2.199622e+01
104,2.195974e+01
105,2.193064e+01
106,2.191401e+01
107,2.190799e+01
108,2.190057e+01
109,2.185527e+01
110,2.177621e+01
111,2.170638e+01
112,2.165737e+01
113,2.161759e+01
114,2.158983e+01
115,2.157176e+01
116,2.156013e+01
117,2.153587e+01
118,2.151516e+01
119,2.149133e+01
120,2.146032e+01
121,2.141266e+01
122,2.134118e+01
123,2.130451e+01
124,2.129106e+01
125,2.129386e+01
126,2.130363e+01
127,2.130736e+01
128,2.129901e+01
129,2.128832e+01
130,2.127948e+01
131,2.129064e+01
132,2.132828e+01
133,2.137753e+01
134,2.142905e+01
135,2.147635e+01
136,2.150880e+01
137,2.152131e+01
138,2.151295e+01
139,2.150320e+01
140,2.149068e+01
141,2.147214e+01
142,2.144339e+01
143,2.140350e+01
144,2.135850e+01
145,2.135386e+01
146,2.139564e+01
147,2.145501e+01
148,2.151804e+01
149,2.156667e+01
150,2.158001e+01
151,2.156878e+01
152,2.152657e+01
153,2.146275e+01
154,2.137800e+01
155,2.129535e+01
156,2.121311e+01
157,2.116196e+01
158,2.114428e+01
159,2.114848e+01
160,2.116570e+01
161,2.118151e+01
162,2.119265e+01
163,2.121123e+01
164,2.123168e+01
165,2.123958e+01
166,2.123121e+01
167,2.119727e+01
168,2.114379e+01
169,2.109867e+01
170,2.106565e+01
171,2.104703e+01
172,2.104051e+01
173,2.104609e+01
174,2.106052e+01
175,2.105819e+01
176,2.103633e+01
177,2.100839e+01
178,2.098510e+01
179,2.099210e+01
180,2.103124e+01
181,2.108711e+01
182,2.114388e+01
183,2.117597e+01
184,2.118227e+01
185,2.117009e+01
186,2.113688e+01
187,2.107500e+01
188,2.099539e+01
189,2.096511e+01
190,2.099400e+01
191,2.104568e+01
192,2.109920e+01
193,2.114851e+01
194,2.118060e+01
195,2.118292e+01
196,2.115409e+01
197,2.109500e+01
198,2.102377e+01
199,2.098697e+01
200,2.098230e+01
201,2.096505e+01
202,2.092591e+01
203,2.089326e+01
204,2.087038e+01
205,2.085310e+01
206,2.084049e+01
207,2.084003e+01
208,2.084288e+01
209,2.083360e+01
210,2.080749e+01
211,2.078695e+01
212,2.077853e+01
213,2.077061e+01
214,2.076085e+01
215,2.074406e+01
216,2.072187e+01
217,2.069924e+01
218,2.069223e+01
219,2.068289e+01
220,2.066559e+01
221,2.064036e+01
222,2.061653e+01
223,2.061981e+01
224,2.065205e+01
225,2.066887e+01
226,2.067025e+01
227,2.065062e+01
228,2.062165e+01
229,2.060761e+01
230,2.060994e+01
231,2.063845e+01
232,2.068193e+01
233,2.071697e+01
234,2.073283e+01
235,2.074169e+01
236,2.073750e+01
237,2.071415e+01
238,2.067397e+01
239,2.061696e+01
240,2.055431e+01
241,2.051690e+01
242,2.051175e+01
243,2.052577e+01
244,2.054491e+01
245,2.056033e+01
246,2.056175e+01
247,2.054446e+01
248,2.051123e+01
249,2.047333e+01
250,2.046960e+01
251,2.049068e+01
252,2.053374e+01
253,2.057022e+01
254,2.059454e+01
255,2.060530e+01
256,2.059877e+01
257,2.058054e+01
258,2.056277e+01
259,2.055387e+01
260,2.056601e+01
261,2.062208e+01
262,2.072018e+01
263,2.082102e+01
264,2.091383e+01
265,2.094835e+01
