Pixel,FLIR0258.jpg:t=7 [C]:mean:horz
1,4.052969e+01
2,4.237921e+01
3,4.190659e+01
4,4.112147e+01
5,3.949432e+01
6,3.683129e+01
7,3.327139e+01
8,2.962738e+01
9,2.727702e+01
10,2.656708e+01
11,2.602035e+01
12,2.555331e+01
13,2.498228e+01
14,2.429209e+01
15,2.374737e+01
16,2.339427e+01
17,2.313387e+01
18,2.292786e+01
19,2.279953e+01
20,2.271037e+01
21,2.264617e+01
22,2.260249e+01
23,2.259155e+01
24,2.261700e+01
25,2.265261e+01
26,2.268681e+01
27,2.272216e+01
28,2.275054e+01
29,2.276794e+01
30,2.277158e+01
31,2.278119e+01
32,2.279814e+01
33,2.282013e+01
34,2.284492e+01
35,2.283722e+01
36,2.280156e+01
37,2.276356e+01
38,2.273745e+01
39,2.273105e+01
40,2.273925e+01
41,2.273087e+01
42,2.269574e+01
43,2.262335e+01
44,2.252460e+01
45,2.243402e+01
46,2.235798e+01
47,2.227368e+01
48,2.218244e+01
49,2.209026e+01
50,2.200689e+01
51,2.193326e+01
52,2.189825e+01
53,2.186136e+01
54,2.181768e+01
55,2.177085e+01
56,2.172396e+01
57,2.168996e+01
58,2.166935e+01
59,2.160856e+01
60,2.158132e+01
61,2.157306e+01
62,2.158701e+01
63,2.160047e+01
64,2.161806e+01
65,2.164539e+01
66,2.168152e+01
67,2.170653e+01
68,2.171810e+01
69,2.172087e+01
70,2.171297e+01
71,2.170230e+01
72,2.168517e+01
73,2.164997e+01
74,2.159807e+01
75,2.154943e+01
76,2.150821e+01
77,2.147764e+01
78,2.146002e+01
79,2.144192e+01
80,2.141639e+01
81,2.135699e+01
82,2.127249e+01
83,2.121906e+01
84,2.120109e+01
85,2.116863e+01
86,2.111091e+01
87,2.106896e+01
88,2.104959e+01
89,2.103832e+01
90,2.102099e+01
91,2.101774e+01
92,2.102427e+01
93,2.104987e+01
94,2.108990e+01
95,2.111549e+01
96,2.113038e+01
97,2.116712e+01
98,2.122290e+01
99,2.126100e+01
100,2.126983e+01
101,2.125635e+01
102,2.122382e+01
103,2.118197e+01
104,2.114057e+01
105,2.112288e+01
106,2.112796e+01
107,2.112981e+01
108,2.112284e+01
109,2.109725e+01
110,2.106370e+01
111,2.103669e+01
112,2.102182e+01
113,2.100462e+01
114,2.098507e+01
115,2.096643e+01
116,2.094357e+01
117,2.090541e+01
118,2.086879e+01
119,2.085793e+01
120,2.087193e+01
121,2.086380e+01
122,2.081489e+01
123,2.079298e+01
124,2.078505e+01
125,2.077757e+01
126,2.077149e+01
127,2.078175e+01
128,2.080790e+01
129,2.082565e+01
130,2.083266e+01
131,2.083548e+01
132,2.084575e+01
133,2.086675e+01
134,2.090079e+01
135,2.094834e+01
136,2.100097e+01
137,2.101307e+01
138,2.098838e+01
139,2.097066e+01
140,2.096598e+01
141,2.095154e+01
142,2.092777e+01
143,2.089888e+01
144,2.087696e+01
145,2.088677e+01
146,2.092640e+01
147,2.096646e+01
148,2.099669e+01
149,2.101995e+01
150,2.103011e+01
151,2.102426e+01
152,2.099447e+01
153,2.095517e+01
154,2.088955e+01
155,2.083452e+01
156,2.078227e+01
157,2.074680e+01
158,2.073467e+01
159,2.073188e+01
160,2.073282e+01
161,2.073608e+01
162,2.073748e+01
163,2.075520e+01
164,2.078179e+01
165,2.080000e+01
166,2.079956e+01
167,2.078556e+01
168,2.075520e+01
169,2.072484e+01
170,2.069869e+01
171,2.067582e+01
172,2.065995e+01
173,2.064827e+01
174,2.064078e+01
175,2.064078e+01
176,2.064921e+01
177,2.065109e+01
178,2.065436e+01
179,2.067538e+01
180,2.071742e+01
181,2.075665e+01
182,2.078746e+01
183,2.079475e+01
184,2.078207e+01
185,2.075401e+01
186,2.070391e+01
187,2.066280e+01
188,2.062727e+01
189,2.060764e+01
190,2.060765e+01
191,2.063990e+01
192,2.069129e+01
193,2.073612e+01
194,2.075852e+01
195,2.075246e+01
196,2.072305e+01
197,2.068287e+01
198,2.064922e+01
199,2.062257e+01
200,2.060713e+01
201,2.059918e+01
202,2.058889e+01
203,2.056131e+01
204,2.052341e+01
205,2.050890e+01
206,2.052433e+01
207,2.053462e+01
208,2.053136e+01
209,2.051876e+01
210,2.050521e+01
211,2.050052e+01
212,2.050332e+01
213,2.050051e+01
214,2.048227e+01
215,2.046542e+01
216,2.044935e+01
217,2.041956e+01
218,2.041069e+01
219,2.042755e+01
220,2.046078e+01
221,2.046218e+01
222,2.043174e+01
223,2.042519e+01
224,2.044299e+01
225,2.045610e+01
226,2.045140e+01
227,2.042330e+01
228,2.037929e+01
229,2.036946e+01
230,2.039615e+01
231,2.042611e+01
232,2.044389e+01
233,2.044998e+01
234,2.044204e+01
235,2.042847e+01
236,2.041113e+01
237,2.040082e+01
238,2.039522e+01
239,2.037977e+01
240,2.035541e+01
241,2.033852e+01
242,2.033521e+01
243,2.034316e+01
244,2.035909e+01
245,2.036939e+01
246,2.036612e+01
247,2.036613e+01
248,2.036940e+01
249,2.033895e+01
250,2.032302e+01
251,2.033567e+01
252,2.037269e+01
253,2.040923e+01
254,2.042984e+01
255,2.043548e+01
256,2.042614e+01
257,2.039852e+01
258,2.036619e+01
259,2.037180e+01
260,2.041533e+01
261,2.046774e+01
262,2.051969e+01
263,2.058191e+01
264,2.065250e+01
265,2.064040e+01
