Pixel,FLIR0256.jpg:t=4 [C]:mean:horz
1,3.458265e+01
2,3.626442e+01
3,3.556792e+01
4,3.536361e+01
5,3.449154e+01
6,3.266298e+01
7,2.987703e+01
8,2.669295e+01
9,2.456834e+01
10,2.381232e+01
11,2.338507e+01
12,2.318455e+01
13,2.289430e+01
14,2.247442e+01
15,2.215199e+01
16,2.196806e+01
17,2.184433e+01
18,2.173626e+01
19,2.163297e+01
20,2.151935e+01
21,2.144814e+01
22,2.142726e+01
23,2.142379e+01
24,2.142747e+01
25,2.143159e+01
26,2.142941e+01
27,2.141882e+01
28,2.142393e+01
29,2.141234e+01
30,2.137985e+01
31,2.135570e+01
32,2.134827e+01
33,2.134688e+01
34,2.135152e+01
35,2.134828e+01
36,2.133854e+01
37,2.131672e+01
38,2.129906e+01
39,2.131486e+01
40,2.135851e+01
41,2.138214e+01
42,2.136720e+01
43,2.131593e+01
44,2.123947e+01
45,2.118726e+01
46,2.116218e+01
47,2.113241e+01
48,2.109002e+01
49,2.105790e+01
50,2.103796e+01
51,2.099297e+01
52,2.095323e+01
53,2.092883e+01
54,2.092164e+01
55,2.091357e+01
56,2.089782e+01
57,2.087753e+01
58,2.085178e+01
59,2.080029e+01
60,2.079240e+01
61,2.080551e+01
62,2.082934e+01
63,2.084521e+01
64,2.084892e+01
65,2.084704e+01
66,2.084377e+01
67,2.084472e+01
68,2.085128e+01
69,2.086201e+01
70,2.087134e+01
71,2.086388e+01
72,2.084337e+01
73,2.082983e+01
74,2.082654e+01
75,2.082979e+01
76,2.083681e+01
77,2.084334e+01
78,2.084566e+01
79,2.084005e+01
80,2.082931e+01
81,2.082556e+01
82,2.082183e+01
83,2.081343e+01
84,2.078236e+01
85,2.074842e+01
86,2.070995e+01
87,2.066966e+01
88,2.063751e+01
89,2.063658e+01
90,2.064305e+01
91,2.065754e+01
92,2.066038e+01
93,2.066321e+01
94,2.067490e+01
95,2.069827e+01
96,2.072583e+01
97,2.073797e+01
98,2.073095e+01
99,2.073795e+01
100,2.075568e+01
101,2.075847e+01
102,2.074444e+01
103,2.070613e+01
104,2.065708e+01
105,2.064447e+01
106,2.066502e+01
107,2.067484e+01
108,2.066552e+01
109,2.065758e+01
110,2.065149e+01
111,2.064496e+01
112,2.063283e+01
113,2.062206e+01
114,2.060986e+01
115,2.059488e+01
116,2.057995e+01
117,2.055684e+01
118,2.054688e+01
119,2.053962e+01
120,2.053912e+01
121,2.054999e+01
122,2.055239e+01
123,2.055241e+01
124,2.053978e+01
125,2.054867e+01
126,2.057627e+01
127,2.058654e+01
128,2.057716e+01
129,2.057530e+01
130,2.058094e+01
131,2.058610e+01
132,2.058189e+01
133,2.057302e+01
134,2.056461e+01
135,2.057489e+01
136,2.060339e+01
137,2.062019e+01
138,2.061925e+01
139,2.061459e+01
140,2.060153e+01
141,2.058703e+01
142,2.057672e+01
143,2.057342e+01
144,2.057762e+01
145,2.059073e+01
146,2.060713e+01
147,2.062490e+01
148,2.063796e+01
149,2.065476e+01
150,2.065926e+01
151,2.065110e+01
152,2.062392e+01
153,2.061170e+01
154,2.060247e+01
155,2.059873e+01
156,2.057488e+01
157,2.054120e+01
158,2.050050e+01
159,2.047102e+01
160,2.045840e+01
161,2.045653e+01
162,2.046166e+01
163,2.047427e+01
164,2.049440e+01
165,2.050750e+01
166,2.051638e+01
167,2.052153e+01
168,2.052435e+01
169,2.051453e+01
170,2.049064e+01
171,2.046349e+01
172,2.044102e+01
173,2.041294e+01
174,2.038812e+01
175,2.038157e+01
176,2.039281e+01
177,2.041343e+01
178,2.043734e+01
179,2.046028e+01
180,2.047524e+01
181,2.049959e+01
182,2.052861e+01
183,2.053469e+01
184,2.052107e+01
185,2.047976e+01
186,2.041251e+01
187,2.036942e+01
188,2.035443e+01
189,2.035724e+01
190,2.037693e+01
191,2.039942e+01
192,2.042144e+01
193,2.043970e+01
194,2.045512e+01
195,2.046869e+01
196,2.047762e+01
197,2.046968e+01
198,2.044017e+01
199,2.040971e+01
200,2.038580e+01
201,2.037126e+01
202,2.036985e+01
203,2.037969e+01
204,2.039937e+01
205,2.041388e+01
206,2.041995e+01
207,2.041154e+01
208,2.039377e+01
209,2.039237e+01
210,2.040174e+01
211,2.039799e+01
212,2.038064e+01
213,2.036048e+01
214,2.034033e+01
215,2.032299e+01
216,2.030989e+01
217,2.028696e+01
218,2.028557e+01
219,2.030151e+01
220,2.032588e+01
221,2.033525e+01
222,2.033056e+01
223,2.032681e+01
224,2.032821e+01
225,2.033710e+01
226,2.034552e+01
227,2.033614e+01
228,2.031175e+01
229,2.029629e+01
230,2.029349e+01
231,2.029913e+01
232,2.030429e+01
233,2.031554e+01
234,2.032585e+01
235,2.032446e+01
236,2.030853e+01
237,2.029399e+01
238,2.028695e+01
239,2.030008e+01
240,2.032398e+01
241,2.033851e+01
242,2.033711e+01
243,2.033477e+01
244,2.033148e+01
245,2.032865e+01
246,2.032677e+01
247,2.031973e+01
248,2.031130e+01
249,2.028880e+01
250,2.028831e+01
251,2.029300e+01
252,2.030522e+01
253,2.030944e+01
254,2.030802e+01
255,2.030381e+01
256,2.030337e+01
257,2.030385e+01
258,2.031417e+01
259,2.031979e+01
260,2.033291e+01
261,2.036334e+01
262,2.041436e+01
263,2.048456e+01
264,2.056783e+01
265,2.057308e+01
