Pixel,FLIR0274.jpg:t=36 [C]:mean:horz
1,3.806239e+01
2,4.157641e+01
3,4.368540e+01
4,4.463025e+01
5,4.433396e+01
6,4.218525e+01
7,3.833603e+01
8,3.396840e+01
9,3.084308e+01
10,2.926467e+01
11,2.828265e+01
12,2.765038e+01
13,2.697907e+01
14,2.617467e+01
15,2.548059e+01
16,2.495176e+01
17,2.455960e+01
18,2.428591e+01
19,2.416226e+01
20,2.414713e+01
21,2.421043e+01
22,2.434380e+01
23,2.456066e+01
24,2.483576e+01
25,2.508688e+01
26,2.529486e+01
27,2.553199e+01
28,2.572315e+01
29,2.586229e+01
30,2.595669e+01
31,2.605135e+01
32,2.615120e+01
33,2.623051e+01
34,2.628619e+01
35,2.633106e+01
36,2.636919e+01
37,2.637717e+01
38,2.636166e+01
39,2.636699e+01
40,2.638558e+01
41,2.638069e+01
42,2.634737e+01
43,2.630869e+01
44,2.626823e+01
45,2.621848e+01
46,2.616167e+01
47,2.612259e+01
48,2.610348e+01
49,2.609239e+01
50,2.608844e+01
51,2.606059e+01
52,2.602311e+01
53,2.600026e+01
54,2.599335e+01
55,2.596833e+01
56,2.593209e+01
57,2.591095e+01
58,2.591010e+01
59,2.591019e+01
60,2.591109e+01
61,2.591867e+01
62,2.593293e+01
63,2.595031e+01
64,2.596856e+01
65,2.599882e+01
66,2.603976e+01
67,2.606288e+01
68,2.606688e+01
69,2.605977e+01
70,2.604776e+01
71,2.604241e+01
72,2.603971e+01
73,2.603435e+01
74,2.603167e+01
75,2.605034e+01
76,2.609169e+01
77,2.612325e+01
78,2.613614e+01
79,2.615083e+01
80,2.616153e+01
81,2.616066e+01
82,2.614556e+01
83,2.613177e+01
84,2.611160e+01
85,2.607106e+01
86,2.601455e+01
87,2.596792e+01
88,2.593939e+01
89,2.593806e+01
90,2.597731e+01
91,2.600665e+01
92,2.603330e+01
93,2.605326e+01
94,2.607413e+01
95,2.610703e+01
96,2.615283e+01
97,2.621237e+01
98,2.627497e+01
99,2.632470e+01
100,2.635668e+01
101,2.636559e+01
102,2.635233e+01
103,2.632399e+01
104,2.628364e+01
105,2.624680e+01
106,2.622103e+01
107,2.621080e+01
108,2.621167e+01
109,2.619123e+01
110,2.615169e+01
111,2.611524e+01
112,2.608144e+01
113,2.603611e+01
114,2.597743e+01
115,2.593337e+01
116,2.590264e+01
117,2.587168e+01
118,2.584747e+01
119,2.582154e+01
120,2.579256e+01
121,2.575796e+01
122,2.572293e+01
123,2.570105e+01
124,2.570105e+01
125,2.570376e+01
126,2.570603e+01
127,2.571185e+01
128,2.571496e+01
129,2.570737e+01
130,2.568999e+01
131,2.569178e+01
132,2.572122e+01
133,2.576806e+01
134,2.582868e+01
135,2.589192e+01
136,2.594844e+01
137,2.598673e+01
138,2.600501e+01
139,2.601215e+01
140,2.600683e+01
141,2.598103e+01
142,2.592093e+01
143,2.579842e+01
144,2.562980e+01
145,2.545775e+01
146,2.534486e+01
147,2.543694e+01
148,2.570637e+01
149,2.590790e+01
150,2.597051e+01
151,2.597744e+01
152,2.592868e+01
153,2.584233e+01
154,2.570968e+01
155,2.544573e+01
156,2.509727e+01
157,2.488037e+01
158,2.484038e+01
159,2.491996e+01
160,2.507128e+01
161,2.521610e+01
162,2.532045e+01
163,2.539293e+01
164,2.543494e+01
165,2.544921e+01
166,2.542101e+01
167,2.533466e+01
168,2.518241e+01
169,2.494823e+01
170,2.468956e+01
171,2.463549e+01
172,2.479314e+01
173,2.496130e+01
174,2.507532e+01
175,2.513448e+01
176,2.512817e+01
177,2.509453e+01
178,2.503175e+01
179,2.490874e+01
180,2.477430e+01
181,2.481742e+01
182,2.503885e+01
183,2.523220e+01
184,2.533863e+01
185,2.538509e+01
186,2.536650e+01
187,2.521379e+01
188,2.496704e+01
189,2.474582e+01
190,2.462830e+01
191,2.475756e+01
192,2.508382e+01
193,2.530388e+01
194,2.535221e+01
195,2.536205e+01
196,2.533071e+01
197,2.510887e+01
198,2.474669e+01
199,2.452192e+01
200,2.448587e+01
201,2.452415e+01
202,2.455705e+01
203,2.439473e+01
204,2.406973e+01
205,2.391559e+01
206,2.397441e+01
207,2.410576e+01
208,2.423662e+01
209,2.422408e+01
210,2.408005e+01
211,2.400279e+01
212,2.402399e+01
213,2.405534e+01
214,2.406732e+01
215,2.403578e+01
216,2.396384e+01
217,2.389889e+01
218,2.383360e+01
219,2.380009e+01
220,2.378151e+01
221,2.368842e+01
222,2.352973e+01
223,2.343230e+01
224,2.342730e+01
225,2.349923e+01
226,2.359877e+01
227,2.356510e+01
228,2.340134e+01
229,2.326875e+01
230,2.322039e+01
231,2.331207e+01
232,2.350005e+01
233,2.356041e+01
234,2.347538e+01
235,2.340538e+01
236,2.338816e+01
237,2.344375e+01
238,2.348510e+01
239,2.320202e+01
240,2.261271e+01
241,2.207920e+01
242,2.174335e+01
243,2.167306e+01
244,2.184944e+01
245,2.215883e+01
246,2.248822e+01
247,2.263163e+01
248,2.255112e+01
249,2.234702e+01
250,2.207262e+01
251,2.189598e+01
252,2.190334e+01
253,2.221597e+01
254,2.273518e+01
255,2.303357e+01
256,2.299631e+01
257,2.267488e+01
258,2.218015e+01
259,2.181936e+01
260,2.171282e+01
261,2.187845e+01
262,2.227562e+01
263,2.281404e+01
264,2.333566e+01
265,2.372652e+01
